Title,Director,Cast,Country,Genre,Subgenre,Budget,Box Office Gross,Rotten Tomatoes Score,IMDb Rating
A Different Man,Aaron Schimberg,"Sebastian Stan, Renate Reinsve, Adam Pearson",United States,Horror,Psychological thriller,N/A,N/A,84%,7.4
A Quiet Place: Day One,Michael Sarnoski,"Lupita Nyong'o, Joseph Quinn, Alex Wolff, Djimon Hounsou, Denis O'Hare",United States,Horror,Sci-fi horror,"$67,000,000 (estimated)","$138,930,553",86%,6.3
Abigail,"Matt Bettinelli-Olpin, Tyler Gillett","Melissa Barrera, Dan Stevens, Alisha Weir, Kathryn Newton, William Catlett, Kevin Durand, Angus Cloud Giancarlo Esposito",United States,Horror,monster Horror,"$28,000,000 (estimated)","$25,867,515",83%,6.6
Afraid,Chris Weitz,"Katherine Waterston, John Cho, Lukita Maxwell",United States,Horror,Horror,"$12,000,000 (estimated)","$6,582,888",23%,5.1
Alien: Romulus,Fede Álvarez,"Cailee Spaeny, Isabela Merced, David Jonsson, Spike Fearn, Aileen Wu, Archie Renaux",United States,Horror,Science fiction Horror,"$80,000,000 (estimated)","$103,621,150",80%,7.4
AMFAD All My Friends Are Dead,Marcus Dunstan,"Jade Pettyjohn, JoJo Siwa",United States,Horror,Slasher,N/A,N/A,N/A,4.8
Apartment 7A,Natalie Erika James,"Julia Garner, Jim Sturgess, Dianne Wiest",United States,Horror,Psychological thriller,N/A,N/A,N/A,N/A
Arcadian,Ben Brewer,"Nicolas Cage, Jaeden Martell, Maxwell Jenkins","United States, Ireland, Canada",Horror,Action Horror,N/A,"$828,919",N/A,5.5
Azrael,E. L. Katz,Samara Weaving,United States,Horror,Action Horror,"$12,000,000 (estimated)",N/A,71%,N/A
Bantay-Bahay,Jose Javier Reyes,Pepe Herrera,Philippines,Horror,Comedy horror,N/A,N/A,N/A,N/A
Beetlejuice Beetlejuice,Tim Burton,"Michael Keaton, Winona Ryder, Catherine O'Hara, Jenna Ortega, Justin Theroux, Monica Bellucci, Willem Dafoe",United States,Horror,Fantasy comedy,"$100,000,000 (estimated)","$226,848,382",77%,7.0
Blackwater Lane,Jeff Celentano,"Minka Kelly, Maggie Grace, Dermot Mulroney",United States,Horror,Supernatural horror,N/A,N/A,18%,4.4
Blink Twice,Zoë Kravitz,"Naomi Ackie , Channing Tatum",United States,Horror,Thriller,"$20,000,000 (estimated)","$7,323,661",74%,7.0
Bloodline Killer,Ante Novakovic,"Bruce Dern, Tyrese Gibson, Shawnee Smith, Taryn Manning",United States,Horror,Thriller,N/A,N/A,N/A,4.0
Bunker Heights,Drew Fortier,"Drew Fortier, Hannah Fierman, David Ellefson, Violent J, James L. Edwards",United States,Horror,Horror comedy,"$30,000 (estimated)",,,
Camp Pleasant Lake,Thomas Walton,"Jonathan Lipnicki, Michael Paré, Bonnie Aarons, Andrew Divoff, Robert LaSardo",United States,Horror,Horror Slasher,N/A,N/A,20%,3.4
Cuckoo,Tilman Singer,"Hunter Schafer, Dan Stevens, Jessica Henwick",Germany,Horror,Horror,"$7,000,000 (estimated)",N/A,N/A,7.2
Cult Killer,Jon Keeyes,"Alice Eve, Antonio Banderas, Paul Reid, Shelley Hennig",United States,Horror,Horror Thriller,N/A,N/A,42%,4.8
Dancing Village: The Curse Begins,Kimo Stamboel,"Aulia Sarah, Maudy Effrosina, Jourdy Pranata",Indonesia,Horror,Horror,"IDR20,000,000,000 (estimated)",N/A,82%,5.7
DarkGame,Howard J. Ford,"Ed Westwick, Andrew P. Stephen, Natalya Tsvetkova, Lola Wayne, Rory Alexander, Rose Reynolds",United States,Horror,Horror Thriller,N/A,N/A,N/A,4.6
Dead Mail,"Joe DeBoer, Kyle McConaghy","Sterling Macer Jr., John Fleck, Thomas boykin, Susan Priver, Micki Jackson",United States,Horror,Crime Horror Mystery,N/A,N/A,100%,7.2
Dead Sea,Phil Volken,"Dean Cameron, Isabel Gravitt, Garrett Wareing, Alexander Wraith, Genneya Walton",United States,Horror,Crime Horror Thriller,N/A,N/A,N/A,2.4
Demon Slayer: Kimetsu no Yaiba – To the Hashira Training,Haruo Sotozaki,"Natsuki Hanae, Akari Kitō, Yoshitsugu Matsuoka, Hiro Shimono",Japan,Horror,Animated Dark fantasy Action,N/A,"$17,657,658",N/A,7.0
Destroy All Neighbors,Josh Forbes,"Jonah Ray, Randee Heller, Pete Ploszek, Kiran Deol",United States,Horror,Splatter Horror Comedy,N/A,N/A,72%,5.3
Drained,"Sean Cronin, Peter Stylianou","Ruaridh Aldington, Madalina Bellariu Ion, Angela Dixon, Craig Conway, Andrew-Lee Potts, Natasha patel, Andrew Lyle-Pinnock",United Kingdom,Horror,Romance Vampire,"BRL300,000 (estimated)",N/A,N/A,7.9
Elevation,George Nolfi,"Anthony Mackie, Morena Baccarin, Maddie Hasson, Tony Goldwyn",United States,Horror,Post-apocalyptic Monster,N/A,N/A,N/A,N/A
Exhuma,Jang Jae-hyun,"Choi Min-sik, Kim Go-eun, Yoo Hae-jin, Lee Do-hyun",South Korea,Horror,Supernatural Mystery Thriller,N/A,"$2,310,900",93%,6.9
Festival of the Living Dead,Jen and Sylvia Soska,"Ashley Moore, Camren Bicondova",United States,Horror,Zombie,N/A,N/A,N/A,4.4
Ganymede,"Colby Holt, Sam Probst","Jordan Doww, Pablo Castelblanco, Robyn Lively, Joe Chrest",United States,Horror,Horror Thriller,N/A,N/A,83%,4.5
Ghostbusters: Frozen Empire,Gil Kenan,"Paul Rudd, Carrie Coon, Finn Wolfhard, Mckenna Grace, Kumail Nanjiani, Patton Oswalt, Celeste O'Connor, Logan Kim, Bill Murray, Dan Aykroyd, Ernie Hudson, Annie Potts",United States,Horror,Supernatural Fantasy Comedy,"$100,000,000 (estimated)","$113,376,590",42%,6.1
Godzilla x Kong: The New Empire,Adam Wingard,"Dan Stevens, Rebecca Hall, Brian Tyree Henry, Kaylee Hottle, Fala Chen",United States,Horror,Monster,"$135,000,000 (estimated)","$196,350,016",54%,6.1
Grave Torture,Joko Anwar,"Faradina Mufti, Reza Rahadian, Christine Hakim, Slamet Rahardjo",Indonesia,Horror,Psychological horror,"IDR5,000,000,000 (estimated)",N/A,N/A,7.1
Handling the Undead,Thea Hvistendahl,"Renate Reinsve, Bjørn Sundquist, Bente Børsum, Anders Danielsen Lie, Bahar Pars, Inesa Dauksta",Norway,Horror,Horror Mystery,"EUR4,500,000 (estimated)","$26,208",75%,5.4
Hellboy: The Crooked Man,Brian Taylor,"Jack Kesy, Jefferson White, Adeline Rudolph, Joseph Marcell, Leah McNamara",United States,Horror,Superhero Horror,N/A,N/A,N/A,N/A
Heretic,Scott Beck and Bryan Woods,"Hugh Grant, Chloe East, Sophie Thatcher",United States,Horror,Horror Thriller,N/A,N/A,N/A,3.2
History of Evil,Bo Mirhosseni,"Paul Wesley, Jackie Cruz, Tordy Clark",United States,Horror,Horror Thriller,N/A,N/A,22%,3.4
Hold Your Breath,"Will Joines, Karrie Crouse","Sarah Paulson, Annaleigh Ashford, Ebon Moss-Bachrach, Bill Heck, Amiah Miller",United States,Horror,Psychological horror-thriller,N/A,N/A,N/A,3.3
Humane,Caitlin Cronenberg,"Jay Baruchel, Emily Hampshire, Sebastian Chacon, Alanna Bale, Sirena Gulamgaus, Uni Park, Enrico Colantoni, Peter Gallagher",Canada,Horror,Horror Thriller,N/A,"$44,509",71%,5.4
I Don't Understand You,"David Joseph Craig, Brian Crano","Nick Kroll, Andrew Rannells, Morgan Spector, Amanda Seyfried","United States, Italy",Horror,Horror Comedy,N/A,N/A,83%,N/A
I Saw the TV Glow,Jane Schoenbrun,"Justice Smith, Brigette Lundy-Paine, Danielle Deadwyler, Fred Durst",United States,Horror,Horror,N/A,"$5,017,817",84%,5.9
Imaginary,Jeff Wadlow,"DeWanda Wise, Betty Buckley",United States,Horror,Supernatural horror,"$13,000,000 (estimated)","$28,009,161",24%,4.7
Immaculate,Michael Mohan,"Sydney Sweeney, Álvaro Morte, Benedetta Porcaroli, Dora Romano, Giorgio Colangeli, Simona Tabasco",United States,Horror,Psychological horror,"$9,000,000 (estimated)","$15,671,307",71%,5.8
In a Violent Nature,Chris Nash,"Ry Barrett, Andrea Pavlovic, Cameron Love, Liam Leone, Reece Presley",Canada,Horror,Slasher,N/A,"$4,229,999",79%,5.6
It's What's Inside,Greg Jardin,"Brittany O'Grady, James Morosini, Alycia Debnam-Carey, Devon Terrell, Gavin Leatherwood, Reina Hardesty, Nina Bloomgarden, David W. Thompson",United States,Horror,Comedy horror,N/A,N/A,N/A,7.4
Kuman Thong,Xian Lim,"Cindy Miranda, Max Nattapol Diloknawarit, Althea Ruedas","Philippines, Thailand",Horror,Horror Drama,N/A,,,
Lampir,Kenny Gulardi,"Jolene Marie, Rory Asyari, Gandhi Fernando, Hana Saraswati, Sheila Salsabila, Ge Pamungkas, Ardina Rasti",Indonesia,Horror,Supernatural horror,N/A,N/A,N/A,6.8
Last Stop: Rocafort St.,Luis Prieto,"Natalia Azahara, Javier Gutiérrez, Valèria Sorolla",Spain,Horror,Horror thriller,N/A,,,
Lazareth,Alec Tibaldi,"Ashley Judd, Sarah Pidgeon, Katie Douglas, Asher Angel",United States,Horror,Mystery Thriller,N/A,N/A,24%,4.3
Lisa Frankenstein,Zelda Williams,"Kathryn Newton, Cole Sprouse, Liza Soberano, Henry Eikenberry, Joe Chrest, Carla Gugino",United States,Horror,Horror comedy,"$13,000,000 (estimated)","$9,774,285",52%,6.1
Longlegs,Oz Perkins,"Maika Monroe, Nicolas Cage",United States,Horror,Horror Thriller,N/A,"$74,045,655",85%,6.8
"Lovely, Dark, and Deep",Teresa Sutherland,"Georgina Campbell, Nick Blood, Wai Ching Ho",United States,Horror,Horror,N/A,N/A,90%,4.9
Lowlife,"Tesh Guttikonda, Mitch Oliver","Amanda Fix, Matthew MacCaull, Brenna Llewellyn, Elyse Levesque",Canada,Horror,Horror,N/A,N/A,91%,6.2
Lumina,Gino J.H. McKoy,"Eric Roberts, Ken Lawson, Emily Hall, Rupert Lazarus, Eleanor Williams, Andrea Tivadar, Sidney Nicole Rogers",United States,Horror,Science fiction Horror,N/A,N/A,N/A,8.2
MaXXXine,Ti West,"Mia Goth, Elizabeth Debicki, Moses Sumney, Michelle Monaghan, Bobby Cannavale, Lily Collins, Halsey, Giancarlo Esposito, Kevin Bacon",United States,Horror,Slasher,"$1,000,000 (estimated)","$15,097,632",73%,6.4
Mickey's Mouse Trap,Jamie Bailey,"Simon Phillips, Sophie McIntosh, Nick Biskupek, James Laurin, Mireille Gagné, Damir Kovic",Canada,Horror,Independent Comedy Slasher,N/A,,,
Monster Summer,David Henrie,"Mel Gibson, Mason Thames, Abby James Witherspoon, Noah Cottrell",United States,Horror,Adventure Horror,N/A,N/A,N/A,N/A
Munjya,Aditya Sarpotdar,"Sharvari, Abhay Verma, Mona Singh and Sathyaraj",India,Horror,Supernatural comedy horror,N/A,N/A,56%,6.9
My Zombabe,Bobby Bonifacio Jr.,"Empoy Marquez, Kim Molina",Philippines,Horror,Romantic comedy Zombie,N/A,N/A,N/A,N/A
Never Let Go,Alexandre Aja,"Halle Berry, Percy Daggs IV, Anthony B. Jenkins, Matthew Kevin Anderson, Christin Park, Stephanie Lavigne",United States,Horror,Survival horror-thriller,N/A,N/A,N/A,7.1
Nightbitch,Marielle Heller,"Amy Adams, Scoot McNairy, Zoë Chao",United States,Horror,Comedy horror,N/A,N/A,71%,N/A
Night Swim,Bryce McGuire,"Wyatt Russell, Kerry Condon",United States,Horror,Supernatural horror,"$22,000,000 (estimated)","$32,494,740",20%,4.7
No Way Up,Claudio Fäh,"Sophie McIntosh, Will Attenborough, Jeremias Amoore, Manuel Pacific , Grace Nettle, Phyllis Logan, Colm Meaney","United Kingdom, United States",Horror,Survival Thriller,N/A,"$148,582",36%,4.6
Nosferatu,Robert Eggers,"Bill Skarsgård, Nicholas Hoult, Lily-Rose Depp, Aaron Taylor-Johnson, Emma Corrin, Willem Dafoe, Simon McBurney, Ralph Ineson",United States,Horror,Gothic horror,N/A,N/A,N/A,5.7
Oddity,Damian Mc Carthy,"Gwilym Lee, Carolyn Bracken, Tadhg Murphy, Caroline Menton, Steve Wall, Jonathan French, Joe Rooney",Ireland,Horror,Paranormal Horror,N/A,"$1,200,477",96%,6.8
Outside,Carlo Ladesma,"Sid Lucero, Beauty Gonzalez, Marco Masa, Joel Torre",Philippines,Horror,Zombie,"$15,000,000 (estimated)",N/A,36%,5.4
Pagpag 24/7,JR Reyes,"Jerald Napoles, Nicco Manalo, Danita Paner, Nikko Natividad, Wilbert Ross",Philippines,Horror,Comedy horror,N/A,N/A,N/A,N/A
Presence,Steven Soderbergh,"Lucy Liu, Julia Fox, Chris Sullivan",United States,Horror,Psychological thriller,N/A,N/A,N/A,3.5
Rambut Kafan,Helfi C.H. Kardit,"Yama Carlos, Nita Gunawan, Virnie Ismail, Bulan Sutena, Cathrine Wilson",Indonesia,Horror,Horror Drama,N/A,N/A,N/A,N/A
Salem's Lot,Gary Dauberman,"Lewis Pullman, Makenzie Leigh, Bill Camp, Pilou Asbæk, Alfre Woodard, William Sadler",United States,Horror,Supernatural Horror,N/A,N/A,89%,6.7
Shaitaan,Vikas Bahl,"Ajay Devgn, R. Madhavan, Jyothika, Anngad Raaj, and Janki Bodiwala",India,Horror,Supernatural horror thriller film,N/A,N/A,40%,6.6
Shelby Oaks,Chris Stuckmann,"Camille Sullivan, Brendan Sexton III, Michael Beach, Robin Bartlett, Keith David, Charlie Talbert, Emily Bennett, Sarah Durn",United States,Horror,Supernatural horror,"$1,400,000 (estimated)",N/A,N/A,6.1
Silence of the Prey,"Karyna Kudzina, Michael Vaynberg","Monte Bezell, Michael Doyle, Lorianna Izrailova, Karina Kudzina",United States,Horror,Horror,"$300,000 (estimated)",N/A,N/A,3.9
Skeletons in the Closet,Asif Akbar,"Terrence Howard, Cuba Gooding Jr",United States,Horror,Horror,N/A,N/A,40%,5.2
